LOG-COLLECTION,500.10.17-17A95220h - All;500.10.17-17A95220i - All;500.10.17-unknown - All;500.10.8-17A24921d - All;500.10.8-unknown - All;,,,,,,,,,,,Parametric
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,Connection Couldn't pair with device. Timeout!,Connection Failed to connect to device and start session,Connection tsid::FXGL_C07-3F-BIR_2_LOG-COLLECTION::unit_process_check=UNIT,CycleTime CycleTime,FATAL ERROR UNIT_OUT_OF_PROCESS [ACTIVE]: UNIT OUT OF PROCESS,Finalize the device is not found in connected device list,hidd_nonui display ECIDCount,hidd_nonui display_on_time EFI,hidd_nonui display_on_time NonUI,hidd_nonui display_on_time Total,InvalidShutdown BootStageDebugDefault Counts,InvalidShutdown BootStageDebugNormal Counts,InvalidShutdown BootStageDebugPanic Counts,InvalidShutdown BootStageDebugSocHot Counts,InvalidShutdown BootStageDebugThermal Counts,kCollectLogs Computed MoPED does not match. Unable to write control bits at o,kCollectLogs Could not connect to device at USB location 0x1a121000,kCollectLogs Could not connect to device at USB location 0x14110000,kCollectLogs Could not connect to device at USB location 0x14210000,kCollectLogs Could not connect to device at USB location 0x14610000,kCollectLogs Failed to add blob for LogCollection,kCollectLogs failed to upload the blob of on-device test via IP,kCollectLogs Instant Pudding Error(33): SFC_QUERY_UNIT : Empty Dictionary Rec,kCollectLogs Semaphore file missing in folder MMI,kCollectLogs Unable to load file: /vault/DCSD/DataCollection/G6TZ101LN39G/201,MAX_TEMP battery GasGauge,MAX_TEMP pmu TDEV1,MAX_TEMP pmu TDEV2,MAX_TEMP pmu TDEV3,MAX_TEMP pmu TDEV4,MAX_TEMP pmu TDEV5,MAX_TEMP soc E_ACC_THERMAL0,MAX_TEMP soc P_ACC_THERMAL0,MAX_TEMP soc P_ACC_THERMAL1,MAX_TEMP soc THERMAL0,MAX_TEMP soc THERMAL1,MIN_TEMP battery GasGauge,MIN_TEMP pmu TDEV1,MIN_TEMP pmu TDEV2,MIN_TEMP pmu TDEV3,MIN_TEMP pmu TDEV4,MIN_TEMP pmu TDEV5,MIN_TEMP soc E_ACC_THERMAL0,MIN_TEMP soc P_ACC_THERMAL0,MIN_TEMP soc P_ACC_THERMAL1,MIN_TEMP soc THERMAL0,MIN_TEMP soc THERMAL1,UsbLocation UsbLocation
Display Name ----->,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Limit ----->,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Limit ----->,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Measurement Unit ----->,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,s,s,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA
FXGL,D42,C39YR00AN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000450,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:14:42,2019-07-05 09:15:29,500.10.17-17A95220i,,,,,47.264383,,,6,198048,1753813,1951861,,,,,,,,,,,,,,,,39.5,48.59,47.5,48.71,55.43,46.35,66.75,70.7,70.7,60.56,61.68,28.5,29.2,29.26,28.94,29.74,29.26,31.54,30.76,30.37,31.45,30.46,437391360
FXGL,D42,C39YR00BN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000451,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:15:22,2019-07-05 09:16:03,500.10.17-17A95220i,,,,,41.187176,,,5,132601,883592,1016193,,,,,,,,,,,,,,,,39.79,49.05,48.36,50.07,55.87,47.21,68.21,72.25,71.9,61.76,62.96,27.79,28.41,28.61,28.43,28.71,28.37,31.15,30.67,30.18,30.37,30.18,487788544
FXGL,D42,C39YR00HN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000457,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:21:37,2019-07-05 09:22:22,500.10.17-17A95220i,,,,,45.495114,,,5,157279,1213026,1370305,,,,,,,,,,,,,,,,36.79,47.48,46.61,48.43,54.19,45.29,65.64,69.59,69.93,59.87,61,27.2,28.13,28.26,28.48,28.39,28.06,29.98,29.29,29.5,29.59,29.01,487657472
FXGL,D42,C39YR00HN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000457,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 20:35:01,2019-07-05 20:35:35,500.10.17-17A95220h,,,,,33.900273,,,5,159464,1225791,1385255,,,,,,,,,,,,,,,,38.5,47.53,47.09,48.56,54.03,45.88,65.46,70.28,70.79,59.79,60.65,26.29,26.91,27.12,27.3,27.19,26.98,28.9,28.12,28.23,28.71,27.93,487657472
FXGL,D42,C39YR00MN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000461,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:13:07,2019-07-05 09:13:45,500.10.17-17A95220i,,,,,38.706809,,,5,144731,1048738,1193469,,,,,,,,,,,,,,,,37.9,47.02,46.33,47.6,53.81,44.49,64.68,68.81,69.59,58.93,60.56,27.5,28.18,28.39,28.4,28.74,28.02,29.89,29.29,29.98,29.89,29.68,487657472
