Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime
FXGL,D42,C39YR00AN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000450,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 00:57:06,2019-07-05 00:57:07
FXGL,D42,C39YR00AN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000450,FXGL_C03-5F-BIR_6_BURNIN,FAIL,2019-07-05 13:30:38,2019-07-05 13:30:39
FXGL,D42,C39YR00BN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000451,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 00:56:43,2019-07-05 00:56:44
FXGL,D42,C39YR00HN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000457,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 01:08:56,2019-07-05 01:08:57
FXGL,D42,C39YR00HN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000457,FXGL_C03-5F-BIR_3_BURNIN,PASS,2019-07-05 19:33:35,2019-07-05 19:33:36
FXGL,D42,C39YR00MN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000461,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 00:57:51,2019-07-05 00:57:52
FXGL,D42,C39YR00MN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000461,FXGL_C03-4F-BIR_18_BURNIN,PASS,2019-07-05 19:50:28,2019-07-05 19:50:29
FXGL,D42,C39YR00NN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000341,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 19:31:04,2019-07-05 19:31:05
FXGL,D42,C39YR00PN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000354,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 01:09:40,2019-07-05 01:09:41
FXGL,D42,C39YR00PN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000354,FXGL_C03-5F-BIR_1_BURNIN,PASS,2019-07-05 19:53:17,2019-07-05 19:53:18
FXGL,D42,C39YR00QN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000342,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 00:54:08,2019-07-05 00:54:09
FXGL,D42,C39YR00QN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000342,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 19:51:05,2019-07-05 19:51:06
FXGL,D42,C39YR012N2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M10WJ,000416,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 01:09:01,2019-07-05 01:09:02
FXGL,D42,C39YR012N2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M10WJ,000416,FXGL_C03-5F-BIR_3_BURNIN,PASS,2019-07-05 19:32:11,2019-07-05 19:32:12
FXGL,D42,C39YR013N2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000367,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 00:55:08,2019-07-05 00:55:09
FXGL,D42,C39YR013N2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000367,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 19:50:39,2019-07-05 19:50:40
FXGL,D42,C39YR01DN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000344,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 01:15:40,2019-07-05 01:15:41
FXGL,D42,C39YR01DN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000344,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 19:33:36,2019-07-05 19:33:37
FXGL,D42,C39YR01DN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M10WJ,000405,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 00:53:34,2019-07-05 00:53:35
FXGL,D42,C39YR01DN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M10WJ,000405,FXGL_C03-5F-BIR_2_BURNIN,PASS,2019-07-05 19:28:37,2019-07-05 19:28:38
FXGL,D42,C39YR01PN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M17B,000612,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 00:55:35,2019-07-05 00:55:36
FXGL,D42,C39YR01PN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M17B,000612,FXGL_C03-5F-BIR_1_BURNIN,PASS,2019-07-05 19:30:50,2019-07-05 19:30:51
FXGL,D42,C39YR01SN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M17B,000615,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 00:59:44,2019-07-05 00:59:45
FXGL,D42,C39YR01SN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M17B,000615,FXGL_C03-5F-BIR_6_BURNIN,PASS,2019-07-05 19:46:11,2019-07-05 19:46:12
