Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime
FXGL,D42,C39YR00AN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000450,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 00:57:06,2019-07-05 00:57:07
FXGL,D42,C39YR00BN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000451,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 00:56:43,2019-07-05 00:56:44
FXGL,D42,C39YR00HN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000457,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 01:08:56,2019-07-05 01:08:57
FXGL,D42,C39YR00MN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000461,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 00:57:51,2019-07-05 00:57:52
FXGL,D42,C39YR00PN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000354,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 01:09:40,2019-07-05 01:09:41
FXGL,D42,C39YR00QN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000342,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 00:54:08,2019-07-05 00:54:09
FXGL,D42,C39YR012N2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M10WJ,000416,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 01:09:01,2019-07-05 01:09:02
FXGL,D42,C39YR013N2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000367,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 00:55:08,2019-07-05 00:55:09
FXGL,D42,C39YR01DN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000344,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 01:15:40,2019-07-05 01:15:41
FXGL,D42,C39YR01DN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M10WJ,000405,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 00:53:34,2019-07-05 00:53:35
FXGL,D42,C39YR01PN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M17B,000612,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 00:55:35,2019-07-05 00:55:36
FXGL,D42,C39YR01SN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M17B,000615,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 00:59:44,2019-07-05 00:59:45
FXGL,D42,C39YR022N2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M10WJ,000413,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 01:10:08,2019-07-05 01:10:09
FXGL,D42,C39YR029N2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M17B,000630,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 00:57:27,2019-07-05 00:57:28
FXGL,D42,C39YR02AN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M17B,000634,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 01:09:11,2019-07-05 01:09:12
FXGL,D42,C39YR033N2QT,D42-CARRIERMINI,D42-CARRIERMINI_2M4B,000316,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 01:08:53,2019-07-05 01:08:54
FXGL,D42,C39YR05EN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M22BJ,000881,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 00:53:36,2019-07-05 00:53:37
FXGL,D42,C39YV001N2R2,D42-CARRIER,D42-CARRIER_2G31RX,006072,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 01:09:18,2019-07-05 01:09:19
FXGL,D42,C39YV004N2R2,D42-CARRIER,D42-CARRIER_2G31RX,006075,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 01:00:31,2019-07-05 01:00:32
FXGL,D42,C39YV00DN2R2,D42-CARRIER,D42-CARRIER_2G31RX,006084,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 00:56:36,2019-07-05 00:56:37
FXGL,D42,C39YV01CN2RT,D42-CARRIER,D42-CARRIER_1G36RX,006501,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 00:58:52,2019-07-05 00:58:53
FXGL,D42,C39YV01JN2RT,D42-CARRIER,D42-CARRIER_1G36RX,006507,FXGL_C03-5F-BIR_6_BURNIN,FAIL,2019-07-05 01:10:24,2019-07-05 01:10:25
FXGL,D42,C39YV01MN2RT,D42-CARRIER,D42-CARRIER_1G36RX,006510,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 00:55:12,2019-07-05 00:55:13
FXGL,D42,C39YV020N2RT,D42-CARRIER,D42-CARRIER_1G36RX,006523,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 00:54:37,2019-07-05 00:54:38
FXGL,D42,C39YR00HN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000457,FXGL_C03-5F-BIR_3_BURNIN,PASS,2019-07-05 19:33:35,2019-07-05 19:33:36
FXGL,D42,C39YR00NN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000341,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 19:31:04,2019-07-05 19:31:05
FXGL,D42,C39YR00QN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000342,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 19:51:05,2019-07-05 19:51:06
FXGL,D42,C39YR012N2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M10WJ,000416,FXGL_C03-5F-BIR_3_BURNIN,PASS,2019-07-05 19:32:11,2019-07-05 19:32:12
FXGL,D42,C39YR013N2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000367,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 19:50:39,2019-07-05 19:50:40
FXGL,D42,C39YR01DN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000344,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 19:33:36,2019-07-05 19:33:37
FXGL,D42,C39YR022N2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M10WJ,000413,FXGL_C03-5F-BIR_2_BURNIN,FAIL,2019-07-05 21:53:20,2019-07-05 21:53:21
FXGL,D42,C39YR033N2QT,D42-CARRIERMINI,D42-CARRIERMINI_2M4B,000316,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 19:32:00,2019-07-05 19:32:01
FXGL,D42,C39YR05EN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M22BJ,000881,FXGL_C03-5F-BIR_3_BURNIN,PASS,2019-07-05 19:35:34,2019-07-05 19:35:35
FXGL,D42,C39YV001N2R2,D42-CARRIER,D42-CARRIER_2G31RX,006072,FXGL_C03-4F-BIR_1_BURNIN,PASS,2019-07-05 19:29:53,2019-07-05 19:29:54
FXGL,D42,C39YV01CN2RT,D42-CARRIER,D42-CARRIER_1G36RX,006501,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 19:42:43,2019-07-05 19:42:44
FXGL,D42,C39YV01JN2RT,D42-CARRIER,D42-CARRIER_1G36RX,006507,FXGL_C03-5F-BIR_3_BURNIN,PASS,2019-07-05 19:33:08,2019-07-05 19:33:09
FXGL,D42,C39YV01MN2RT,D42-CARRIER,D42-CARRIER_1G36RX,006510,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 19:28:55,2019-07-05 19:28:56
FXGL,D42,C39YV020N2RT,D42-CARRIER,D42-CARRIER_1G36RX,006523,FXGL_C03-5F-BIR_3_BURNIN,FAIL,2019-07-05 19:49:41,2019-07-05 19:49:42
FXGL,D42,C39YX00NN2RG,,,,FXGL_B08-3F-BIR_1_BURNIN,FAIL,2019-07-05 21:38:42,2019-07-05 21:38:43
FXGL,D42,C39YX015N2RG,,,,FXGL_B08-3F-BIR_1_BURNIN,FAIL,2019-07-05 21:38:19,2019-07-05 21:38:20
FXGL,D42,C39YX01DN2RG,,,,FXGL_B08-3F-BIR_1_BURNIN,FAIL,2019-07-05 21:38:44,2019-07-05 21:38:45
FXGL,D42,C39YX01RN2RG,,,,FXGL_B08-3F-BIR_1_BURNIN,FAIL,2019-07-05 21:36:28,2019-07-05 21:36:29
FXGL,D42,C39YR02AN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M17B,000634,FXGL_C03-5F-BIR_2_BURNIN,FAIL,2019-07-05 23:41:06,2019-07-05 23:41:07
FXGL,D42,C39YR00MN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000461,FXGL_C03-4F-BIR_18_BURNIN,PASS,2019-07-05 19:50:28,2019-07-05 19:50:29
FXGL,D42,C39YR00PN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000354,FXGL_C03-5F-BIR_1_BURNIN,PASS,2019-07-05 19:53:17,2019-07-05 19:53:18
FXGL,D42,C39YR01DN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M10WJ,000405,FXGL_C03-5F-BIR_2_BURNIN,PASS,2019-07-05 19:28:37,2019-07-05 19:28:38
FXGL,D42,C39YR01PN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M17B,000612,FXGL_C03-5F-BIR_1_BURNIN,PASS,2019-07-05 19:30:50,2019-07-05 19:30:51
FXGL,D42,C39YR01SN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M17B,000615,FXGL_C03-5F-BIR_6_BURNIN,PASS,2019-07-05 19:46:11,2019-07-05 19:46:12
FXGL,D42,C39YR029N2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M17B,000630,FXGL_C03-4F-BIR_18_BURNIN,PASS,2019-07-05 19:43:52,2019-07-05 19:43:53
FXGL,D42,C39YR032N2QT,D42-CARRIERMINI,D42-CARRIERMINI_2M4B,000317,FXGL_C03-5F-BIR_2_BURNIN,PASS,2019-07-05 19:43:57,2019-07-05 19:43:58
FXGL,D42,C39YV004N2R2,D42-CARRIER,D42-CARRIER_2G31RX,006075,FXGL_C03-5F-BIR_6_BURNIN,PASS,2019-07-05 19:29:52,2019-07-05 19:29:53
FXGL,D42,C39YV00DN2R2,D42-CARRIER,D42-CARRIER_2G31RX,006084,FXGL_C03-5F-BIR_6_BURNIN,PASS,2019-07-05 19:30:41,2019-07-05 19:30:42
