LOG-COLLECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parametric
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,List of Failing Tests,Version,BMLB-Serial Number,BMLB-Vendor,BTY-Serial Number,BTY-Vendor,CAM-Serial Number,CAM-Vendor,CGS-Serial Number,CGS-Vendor,HSGA-Serial Number,HSGA-Vendor,MLB-Serial Number,MLB-Vendor,PEARL-Serial Number,PEARL-Vendor,BASEBAND_GOLDCERT_ID,BT_MAC_ADDRESS,IMEI,OS_BUILD_VERSION_FATP,PRODUCTION_SOC,SAVAGEUID,SEID,SWBH,UDID,WIFI_MAC_ADDR,YONKERSUID,CycleTime CycleTime,hidd_nonui display ECIDCount,hidd_nonui display_on_time EFI,hidd_nonui display_on_time NonUI,hidd_nonui display_on_time Total,MAX_TEMP battery GasGauge,MAX_TEMP pmu TDEV1,MAX_TEMP pmu TDEV2,MAX_TEMP pmu TDEV3,MAX_TEMP pmu TDEV4,MAX_TEMP pmu TDEV5,MAX_TEMP soc E_ACC_THERMAL0,MAX_TEMP soc P_ACC_THERMAL0,MAX_TEMP soc P_ACC_THERMAL1,MAX_TEMP soc THERMAL0,MAX_TEMP soc THERMAL1,MIN_TEMP battery GasGauge,MIN_TEMP pmu TDEV1,MIN_TEMP pmu TDEV2,MIN_TEMP pmu TDEV3,MIN_TEMP pmu TDEV4,MIN_TEMP pmu TDEV5,MIN_TEMP soc E_ACC_THERMAL0,MIN_TEMP soc P_ACC_THERMAL0,MIN_TEMP soc P_ACC_THERMAL1,MIN_TEMP soc THERMAL0,MIN_TEMP soc THERMAL1,UsbLocation UsbLocation
Display Name ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Limit ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Limit ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Measurement Unit ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,s,s,s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA
FXGL,D42,C39YV006N2R3,D42-CARRIER,D42-CARRIER_2G41GX,007119,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-04 21:09:12,2019-07-04 21:09:20,,500.10.17-17A95220i,C079242008JL3C42,Foxconn,F5D92334UKGMHYJ45,Desay Battery Co. Ltd.,DN89154093YK91K4N,LG Innotek,C39924500HULC2WAD,Foxconn - Hong Fu Jin Precision Industry,C39924500B8LTWGA0,Foxconn - Hong Fu Jin Precision Industry,C079241003GLTQ03,Foxconn,C39924400UFL8R0AT,Foxconn - Hong Fu Jin Precision Industry,1038892196,cc:d2:81:05:2f:15,353232100504226,17A95220i,0,532F9728B3DFC7FF3C7F1B64F0D1D815,042B176BDD5180019071022812300139786A106A6B638EE5,11000000000000000000000000000000,00008030-000E4CA60C40012E,cc:d2:81:08:8d:42,CFSERRMG,8.225265,5,62337,138702,201039,28.89,31.53,31.14,31.29,31.81,31.08,30.96,31.25,31.15,30.96,30.85,24.89,25.5,25.84,25.87,25.91,25.91,24.9,25.2,25.29,25,25,437391360
FXGL,D42,C39YV006N2R3,D42-CARRIER,D42-CARRIER_2G41GX,007119,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-04 21:10:50,2019-07-04 21:10:56,,500.10.17-17A95220i,C079242008JL3C42,Foxconn,F5D92334UKGMHYJ45,Desay Battery Co. Ltd.,DN89154093YK91K4N,LG Innotek,C39924500HULC2WAD,Foxconn - Hong Fu Jin Precision Industry,C39924500B8LTWGA0,Foxconn - Hong Fu Jin Precision Industry,C079241003GLTQ03,Foxconn,C39924400UFL8R0AT,Foxconn - Hong Fu Jin Precision Industry,1038892196,cc:d2:81:05:2f:15,353232100504226,17A95220i,0,532F9728B3DFC7FF3C7F1B64F0D1D815,042B176BDD5180019071022812300139786A106A6B638EE5,11000000000000000000000000000000,00008030-000E4CA60C40012E,cc:d2:81:08:8d:42,CFSERRMG,6.740385,5,62337,138733,201070,,,,,,,,,,,,,,,,,,,,,,,487657472
FXGL,D42,C39YV006N2R3,D42-CARRIER,D42-CARRIER_2G41GX,007119,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-04 22:45:03,2019-07-04 22:45:12,,500.10.17-17A95220i,C079242008JL3C42,Foxconn,F5D92334UKGMHYJ45,Desay Battery Co. Ltd.,DN89154093YK91K4N,LG Innotek,C39924500HULC2WAD,Foxconn - Hong Fu Jin Precision Industry,C39924500B8LTWGA0,Foxconn - Hong Fu Jin Precision Industry,C079241003GLTQ03,Foxconn,C39924400UFL8R0AT,Foxconn - Hong Fu Jin Precision Industry,1038892196,cc:d2:81:05:2f:15,353232100504226,17A95220i,0,532F9728B3DFC7FF3C7F1B64F0D1D815,042B176BDD5180019071022812300139786A106A6B638EE5,11000000000000000000000000000000,00008030-000E4CA60C40012E,cc:d2:81:08:8d:42,CFSERRMG,9.622337,5,64570,139982,204552,29.89,32.7,31.97,33.5,41.21,31.85,56.78,76.82,77.57,47.76,53.32,24.89,25.5,25.84,25.87,25.91,25.91,24.9,25.2,25.29,25,25,487657472
FXGL,D42,C39YV00RN2RV,D42-CARRIER,D42-CARRIER_1G38GX,007020,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-04 21:09:39,2019-07-04 21:09:49,,500.10.17-17A95220i,C079242000WKYT92,Foxconn,F5D92333K8MMHYJ4B,Desay Battery Co. Ltd.,GCF916322XLK91K9N,LG Innotek,C39924500EFLC2WA1,Foxconn - Hong Fu Jin Precision Industry,C399245006JLTWGA5,Foxconn - Hong Fu Jin Precision Industry,C079237001WLTQ23,Foxconn,C39924300K3L8R0AZ,Foxconn - Hong Fu Jin Precision Industry,653523660,cc:d2:81:0f:54:c9,353827100485183,17A95220i,0,C0A6ED95521DF9A9F10340F620A24721,042D0453E25180019072027206300151423EB9C396258E3C,11000000000000000000000000000000,00008030-000805860C40012E,cc:d2:81:10:82:fc,CFSERRMG,10.311014,5,81928,113668,195596,28.5,31.21,30.46,30.37,31.6,29.95,30.37,31.25,30.67,31.35,30.57,27.6,28.28,28.47,28.3,28.86,28.11,27.73,28.12,27.64,28.32,28.23,487788544
FXGL,D42,C39YV00RN2RV,D42-CARRIER,D42-CARRIER_1G38GX,007020,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-04 21:10:53,2019-07-04 21:11:00,,500.10.17-17A95220i,C079242000WKYT92,Foxconn,F5D92333K8MMHYJ4B,Desay Battery Co. Ltd.,GCF916322XLK91K9N,LG Innotek,C39924500EFLC2WA1,Foxconn - Hong Fu Jin Precision Industry,C399245006JLTWGA5,Foxconn - Hong Fu Jin Precision Industry,C079237001WLTQ23,Foxconn,C39924300K3L8R0AZ,Foxconn - Hong Fu Jin Precision Industry,653523660,cc:d2:81:0f:54:c9,353827100485183,17A95220i,0,C0A6ED95521DF9A9F10340F620A24721,042D0453E25180019072027206300151423EB9C396258E3C,11000000000000000000000000000000,00008030-000805860C40012E,cc:d2:81:10:82:fc,CFSERRMG,7.450365,5,81928,113670,195598,,,,,,,,,,,,,,,,,,,,,,,487788544
