LOG-COLLECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parametric
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,List of Failing Tests,Version,BMLB-Serial Number,BMLB-Vendor,BTY-Serial Number,BTY-Vendor,CAM-Serial Number,CAM-Vendor,CGS-Serial Number,CGS-Vendor,HSGA-Serial Number,HSGA-Vendor,MLB-Serial Number,MLB-Vendor,PEARL-Serial Number,PEARL-Vendor,BASEBAND_GOLDCERT_ID,BT_MAC_ADDRESS,IMEI,OS_BUILD_VERSION_FATP,PRODUCTION_SOC,SAVAGEUID,SEID,SWBH,UDID,WIFI_MAC_ADDR,YONKERSUID,CycleTime CycleTime,Finalize the device is not found in connected device list,hidd_nonui display ECIDCount,hidd_nonui display_on_time EFI,hidd_nonui display_on_time NonUI,hidd_nonui display_on_time Total,kCollectLogs Computed MoPED does not match. Unable to write control bits at o,kCollectLogs Could not connect to device at USB location 0x1a121000,kCollectLogs Failed to add blob for LogCollection,MAX_TEMP battery GasGauge,MAX_TEMP pmu TDEV1,MAX_TEMP pmu TDEV2,MAX_TEMP pmu TDEV3,MAX_TEMP pmu TDEV4,MAX_TEMP pmu TDEV5,MAX_TEMP soc E_ACC_THERMAL0,MAX_TEMP soc P_ACC_THERMAL0,MAX_TEMP soc P_ACC_THERMAL1,MAX_TEMP soc THERMAL0,MAX_TEMP soc THERMAL1,MIN_TEMP battery GasGauge,MIN_TEMP pmu TDEV1,MIN_TEMP pmu TDEV2,MIN_TEMP pmu TDEV3,MIN_TEMP pmu TDEV4,MIN_TEMP pmu TDEV5,MIN_TEMP soc E_ACC_THERMAL0,MIN_TEMP soc P_ACC_THERMAL0,MIN_TEMP soc P_ACC_THERMAL1,MIN_TEMP soc THERMAL0,MIN_TEMP soc THERMAL1,UsbLocation UsbLocation
Display Name ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Limit ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Limit ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Measurement Unit ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,s,s,s,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA
FXGL,D42,C39YR00HN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000457,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 20:35:01,2019-07-05 20:35:35,,500.10.17-17A95220h,C079217003NL3C42,Foxconn,F5D92156625MHYJ4K,Desay Battery Co. Ltd.,DN891311K6UK91K2K,LG Innotek,C399225000VLC2WA1,Foxconn - Hong Fu Jin Precision Industry,C399225000LLTWCAX,Foxconn - Hong Fu Jin Precision Industry,C079217001KLTPJ3,Foxconn,C399224006NL8R0AQ,Foxconn - Hong Fu Jin Precision Industry,653523660,ba:ba:ba:ba:ba:ba,000000000000000,17A95220h,0,00000000000000000000000000000000,041C12DB3B528001910004421330041713CCDBB2AAF27192,11000000000000000000000000000000,00008030-000431182680013A,ba:ba:ba:ba:ba:ba,CFSERRMG,33.900273,,5,159464,1225791,1385255,,,,38.5,47.53,47.09,48.56,54.03,45.88,65.46,70.28,70.79,59.79,60.65,26.29,26.91,27.12,27.3,27.19,26.98,28.9,28.12,28.23,28.71,27.93,487657472
FXGL,D42,C39YR00NN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000341,FXGL_C03-5F-BIR_3_LOG-COLLECTION,FAIL,2019-07-05 20:29:05,2019-07-05 20:29:45,kCollectLogs Computed MoPED does not match. Unable to write control bits at o,500.10.17-17A95220h,C0792160016L39Q2,Foxconn,F5D92163BQBMHYJ4J,Desay Battery Co. Ltd.,DN891311KBEK91K2J,LG Innotek,C3992250039LC2WAC,Foxconn - Hong Fu Jin Precision Industry,C3992250028LTWCA3,Foxconn - Hong Fu Jin Precision Industry,C0792160031LTQ43,Foxconn,C39922400B8L8R0AP,Foxconn - Hong Fu Jin Precision Industry,653523660,ba:ba:ba:ba:ba:ba,000000000000000,17A95220h,0,00000000000000000000000000000000,041015DB3B52800191000444243004170A5187D76B9C1B56,41010000000000000000000000000000,00008030-000A5DDE0180012E,ba:ba:ba:ba:ba:ba,CFSERRMG,41.083071,,5,161244,865358,1026602,4160,,,38.09,47.45,46.26,47.95,53.81,45.04,65.64,69.93,70.1,60.31,61,25.2,25.95,25.78,25.93,26.09,25.73,27.06,27.84,27.54,27.73,27.45,487657472
FXGL,D42,C39YR00QN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000342,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 20:29:16,2019-07-05 20:30:01,,500.10.17-17A95220h,C079216001HL39Q2,Foxconn,F5D92163BT5MHYJ4F,Desay Battery Co. Ltd.,DN891312DZZK91K24,LG Innotek,C399225002WLC2WAU,Foxconn - Hong Fu Jin Precision Industry,C399225002JLTWCAT,Foxconn - Hong Fu Jin Precision Industry,C0792160007LTQ43,Foxconn,C399224006VL8R0AH,Foxconn - Hong Fu Jin Precision Industry,653523660,ba:ba:ba:ba:ba:ba,000000000000000,17A95220h,0,00000000000000000000000000000000,041E15DB3B5280019100044410300417734B3F0B97084068,41010000000000000000000000000000,00008030-00161DDE0180012E,ba:ba:ba:ba:ba:ba,CFSERRMG,45.355806,,5,166572,1312719,1479291,,,,38.09,48.23,47.26,48.97,54.81,46.23,67.01,70.96,70.87,61.68,62.2,23.6,24.49,24.46,24.38,24.53,24.34,27.06,27.34,27.15,27.54,27.15,437391360
FXGL,D42,C39YR012N2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M10WJ,000416,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 20:38:10,2019-07-05 20:38:39,,500.10.17-17A95220h,C079217003YL3C42,Foxconn,F5D92173V1XMHYJ4E,Desay Battery Co. Ltd.,DN891312DW5K91K27,LG Innotek,C3992250057LC2WA8,Foxconn - Hong Fu Jin Precision Industry,C399225003DLTWCAV,Foxconn - Hong Fu Jin Precision Industry,C0792170007LTPJ3,Foxconn,C39922400C8L8R0AL,Foxconn - Hong Fu Jin Precision Industry,653523660,cc:d2:81:04:b7:af,353232100440256,17A95220h,0,AE50535FD5FF473DAF80935037A47F7C,040D12DB3B52800191000442283004177D92B39E1AD3C416,11000000000000000000000000000000,00008030-000868982680013A,cc:d2:81:05:8b:e4,CFSERRMG,29.270491,,6,111433,767262,878695,,,,37.7,46.26,45.4,46.78,52.49,44.08,64,68.73,68.73,58.15,59.35,25.39,25.9,26.06,26.06,26.06,25.74,27.64,27.34,26.95,27.15,27.25,437391360
FXGL,D42,C39YR013N2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000367,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 20:31:32,2019-07-05 20:32:13,,500.10.17-17A95220h,C079216001EL39Q2,Foxconn,F5D92162TMCMHYJ4D,Desay Battery Co. Ltd.,DN891312E1VK91K21,LG Innotek,C399225002SLC2WAY,Foxconn - Hong Fu Jin Precision Industry,C399225002MLTWCAQ,Foxconn - Hong Fu Jin Precision Industry,C079216003WLTQ43,Foxconn,C39922400C0L8R0AU,Foxconn - Hong Fu Jin Precision Industry,653523660,ba:ba:ba:ba:ba:ba,000000000000000,17A95220h,0,00000000000000000000000000000000,041915DB3B52800191000444153004170EAADEA4BF117583,41010000000000000000000000000000,00008030-00021CE90180012E,ba:ba:ba:ba:ba:ba,CFSERRMG,41.040608,,5,129227,1456031,1585258,,,,37.29,46.61,45.34,47.06,52.94,44.34,64.51,67.95,68.12,59.18,59.87,23.7,24.09,23.93,24.03,24.37,23.98,26.95,26.46,26.85,27.06,26.56,487788544
