Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime
FXGL,D42,C39YT013N2QP,D42-CARRIER,D42-CARRIER_3R4RJ,004490,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-05 01:56:27,2019-07-05 01:59:22
FXGL,D42,C39YV00DN2RR,D42-CARRIER,D42-CARRIER_1R5WJ,005090,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 01:51:55,2019-07-05 01:54:52
FXGL,D42,C39YV00GN2RR,D42-CARRIER,D42-CARRIER_1R5WJ,005087,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 01:56:18,2019-07-05 01:59:13
FXGL,D42,C39YV00YN2QC,D42-CARRIER,D42-CARRIER_3AFR2R,006747,FXGL_C03-3F-DQE_11_QT1-PREBURN,PASS,2019-07-05 01:48:00,2019-07-05 01:50:56
FXGL,D42,C39YV02EN2QC,D42-CARRIER,D42-CARRIER_3AFR2R,006797,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 01:07:37,2019-07-05 01:10:33
FXGL,D42,C39YV02EN2QC,D42-CARRIER,D42-CARRIER_3AFR2R,006797,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 01:14:52,2019-07-05 01:17:48
FXGL,D42,C39YV02EN2QC,D42-CARRIER,D42-CARRIER_3AFR2R,006797,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-05 01:18:22,2019-07-05 01:21:19
FXGL,D42,C39YV037N2QC,D42-CARRIER,D42-CARRIER_3AFR2R,006824,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 01:43:32,2019-07-05 01:46:28
FXGL,D42,C39YV037N2QC,D42-CARRIER,D42-CARRIER_3AFR2R,006824,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 01:47:52,2019-07-05 01:50:48
FXGL,D42,C39YV037N2QC,D42-CARRIER,D42-CARRIER_3AFR2R,006824,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-05 01:52:23,2019-07-05 01:55:19
FXGL,D42,C39YV039N2QC,D42-CARRIER,D42-CARRIER_3AFR2R,006826,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-05 01:14:10,2019-07-05 01:17:06
FXGL,D42,C39YV039N2QC,D42-CARRIER,D42-CARRIER_3AFR2R,006826,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 01:18:13,2019-07-05 01:21:09
FXGL,D42,C39YV039N2QC,D42-CARRIER,D42-CARRIER_3AFR2R,006826,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-05 01:22:07,2019-07-05 01:25:03
FXGL,D42,C39YV03AN2QC,D42-CARRIER,D42-CARRIER_3AFR2R,006827,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-05 01:03:23,2019-07-05 01:06:19
FXGL,D42,C39YV03AN2QC,D42-CARRIER,D42-CARRIER_3AFR2R,006827,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-05 01:07:30,2019-07-05 01:10:26
